gutenberg_id,text
5314, 191 The Sea-Hare (Das Meerhäschen)
5314, 192 The Master Thief (Der Meisterdieb)
5314, 193 The Drummer (Der Trommler)
5314, 194 The Ear of Corn (Die Kornähre)
5314, 195 The Grave Mound (Der Grabhügel)
5314, 196 Old Rinkrank (Oll Rinkrank)
5314, 197 The Crystal Ball (Die Kristallkugel)
5314, 198 Maid Maleen (Jungfrau Maleen)
5314, 199 The Boot of Buffalo Leather (Der Stiefel von Büffelleder)
5314, 200 The Golden Key (Der goldene Schlüssel)
5314, Children’s Legends
5314, Legend 1 St. Joseph in the Forest (Der heilige Joseph im Walde)
5314, Legend 2 The Twelve Apostles (Die zwölf Apostel)
5314, Legend 3 The Rose (Die Rose)
5314, Legend 4 Poverty and Humility Lead to Heaven (Armut und Demut führen zum Himmel)
5314, Legend 5 God’s Food (Gottes Speise)
5314, Legend 6 The Three Green Twigs (Die drei grünen Zweige)
5314, Legend 7 Our Lady’s Little Glass (Muttergottesgläschen)
5314, Legend 8 The Aged Mother (Die alte Mütterchen)
5314, Legend 9 The Heavenly Wedding (Die himmlische Hochzeit)
5314, Legend 10 The Hazel Branch (Die Haselrute)
5314,"1 The Frog-King, or Iron Henry"
5314,"In old times when wishing still helped one, there lived a king whose"
5314,"daughters were all beautiful, but the youngest was so beautiful that"
5314,"the sun itself, which has seen so much, was astonished whenever it"
5314,"shone in her face. Close by the King’s castle lay a great dark forest,"
5314,"and under an old lime-tree in the forest was a well, and when the day"
5314,"was very warm, the King’s child went out into the forest and sat down"
5314,"by the side of the cool fountain, and when she was dull she took a"
5314,"golden ball, and threw it up on high and caught it, and this ball was"
5314,her favorite plaything.
5314,Now it so happened that on one occasion the princess’s golden ball did
5314,"not fall into the little hand which she was holding up for it, but on"
5314,"to the ground beyond, and rolled straight into the water. The King’s"
5314,"daughter followed it with her eyes, but it vanished, and the well was"
5314,"deep, so deep that the bottom could not be seen. On this she began to"
5314,"cry, and cried louder and louder, and could not be comforted. And as"
5314,"she thus lamented some one said to her, “What ails thee, King’s"
5314,daughter? Thou weepest so that even a stone would show pity.” She
5314,"looked round to the side from whence the voice came, and saw a frog"
5314,"stretching forth its thick, ugly head from the water. “Ah! old"
5314,"water-splasher, is it thou?” said she; “I am weeping for my golden"
5314,"ball, which has fallen into the well.”"
5314,"“Be quiet, and do not weep,” answered the frog, “I can help thee, but"
5314,what wilt thou give me if I bring thy plaything up again?” “Whatever
5314,"thou wilt have, dear frog,” said she—“My clothes, my pearls and jewels,"
5314,and even the golden crown which I am wearing.”
5314,"The frog answered, “I do not care for thy clothes, thy pearls and"
5314,"jewels, or thy golden crown, but if thou wilt love me and let me be thy"
5314,"companion and play-fellow, and sit by thee at thy little table, and eat"
5314,"off thy little golden plate, and drink out of thy little cup, and sleep"
5314,"in thy little bed—if thou wilt promise me this I will go down below,"
5314,and bring thee thy golden ball up again.”
5314,"“Oh yes,” said she, “I promise thee all thou wishest, if thou wilt but"
5314,"bring me my ball back again.” She, however, thought, “How the silly"
5314,"frog does talk! He lives in the water with the other frogs, and croaks,"
5314,and can be no companion to any human being!”
5314,"But the frog when he had received this promise, put his head into the"
5314,"water and sank down, and in a short while came swimmming up again with"
5314,"the ball in his mouth, and threw it on the grass. The King’s daughter"
5314,"was delighted to see her pretty plaything once more, and picked it up,"
